DATE,NEI,NEI+PTER
1994-01-01,9.82911780628,10.9749419995
1994-04-01,9.42543132131,10.6305502883
1994-07-01,9.22842118631,10.3590065086
1994-10-01,8.98375988486,10.1199293941
1995-01-01,8.88244905914,10.0085584472
1995-04-01,8.97931401771,10.094209515
1995-07-01,8.96056186332,10.1051915742
1995-10-01,8.95893117749,10.0813411245
1996-01-01,8.90290748887,9.97698164393
1996-04-01,8.80474780271,9.88223163899
1996-07-01,8.63716572582,9.73488491759
1996-10-01,8.64505785015,9.70224808999
1997-01-01,8.58892225582,9.62526016762
1997-04-01,8.40817365671,9.41571315792
1997-07-01,8.24540389489,9.2431081195
1997-10-01,8.17075724343,9.13549589278
1998-01-01,8.08194791992,9.03442518229
1998-04-01,7.96307639547,8.86999505301
1998-07-01,8.03570885429,8.92164720037
1998-10-01,7.93506443724,8.75865098525
1999-01-01,7.87902322393,8.71999786293
1999-04-01,7.93937952451,8.75343491405
1999-07-01,7.83164022446,8.6386198155
1999-10-01,7.69424982152,8.46201339809
2000-01-01,7.67918079405,8.43357281422
2000-04-01,7.67319623361,8.42739721338
2000-07-01,7.64927049463,8.4123704522
2000-10-01,7.63839225927,8.40252217437
2001-01-01,7.77107704038,8.5379694802
2001-04-01,8.05799123129,8.87319920599
2001-07-01,8.29520466757,9.17330892378
2001-10-01,8.74021774067,9.74108786071
2002-01-01,8.84862716169,9.8003992199
2002-04-01,8.82137943074,9.76934566368
2002-07-01,8.7502583001,9.74537006619
2002-10-01,8.75059859828,9.72765352397
2003-01-01,8.852040913,9.91252921616
2003-04-01,8.95227763564,10.0082630396
2003-07-01,8.95180073367,10.0193628089
2003-10-01,8.82777630708,9.89609137113
2004-01-01,8.72589899225,9.77251611392
2004-04-01,8.6533726666,9.66944709552
2004-07-01,8.60328594676,9.61485106209
2004-10-01,8.58452767011,9.59960980573
2005-01-01,8.52477318684,9.49058820038
2005-04-01,8.41292673348,9.37175690864
2005-07-01,8.31220431123,9.31957619642
2005-10-01,8.36753705797,9.2845231143
2006-01-01,8.20784988784,9.10574265186
2006-04-01,8.15089013529,9.04213421059
2006-07-01,8.12059676797,9.0515569322
2006-10-01,8.06281346103,8.97961754708
2007-01-01,8.01765305276,8.93443143379
2007-04-01,8.14293706847,9.07792519017
2007-07-01,8.15818765883,9.14390096257
2007-10-01,8.19682137484,9.15493674999
2008-01-01,8.32949433998,9.37461498775
2008-04-01,8.55570732346,9.69089358252
2008-07-01,8.95385561765,10.2481273535
2008-10-01,9.45778627409,11.014320402
2009-01-01,10.3656944072,12.2090697363
2009-04-01,10.8123913409,12.7175787705
2009-07-01,10.7760497239,12.6798158428
2009-10-01,10.8654872111,12.7685859847
2010-01-01,10.7673649876,12.6423877459
2010-04-01,10.503276103,12.3703081009
2010-07-01,10.5354367341,12.395694677
2010-10-01,10.5640666155,12.4171320381
2011-01-01,10.3350943303,12.1232381382
2011-04-01,10.3724737852,12.1686105931
2011-07-01,10.351416603,12.1593480635
2011-10-01,10.1810958643,11.9302998559
2012-01-01,9.97346461865,11.6488069723
2012-04-01,9.95693238153,11.6210290118
2012-07-01,9.93631947752,11.6093561932
2012-10-01,9.83048655534,11.4938843288
2013-01-01,9.85400395833,11.4802420769
2013-04-01,9.75281346553,11.3840896664
2013-07-01,9.50421224261,11.1062919386
2013-10-01,9.3792282677,10.9823036864
2014-01-01,9.23608285187,10.7133271057
2014-04-01,9.07581671249,10.5662149951
2014-07-01,9.05123783999,10.5008859671
2014-10-01,8.87700753145,10.2827141266
2015-01-01,8.79534572327,10.1283186603
2015-04-01,8.7018216594,9.99992393231
2015-07-01,8.55899425792,9.80337430598
2015-10-01,8.50640797762,9.71177339631
2016-01-01,8.37332286805,9.55865036783
2016-04-01,8.35653267935,9.54824739044
2016-07-01,8.34456409766,9.51726866332
2016-10-01,8.33052595873,9.46827376207
2017-01-01,8.16525037249,9.275591947
2017-04-01,8.01353510509,9.04039015572
2017-07-01,7.9233632797,8.94016128099
2017-10-01,7.86016923047,8.81137064432
2018-01-01,7.78311797967,8.78634148122
2018-04-01,7.71283324995,8.6599647206
2018-07-01,7.6346310006,8.49346774175
2018-10-01,7.6283077276,8.51378018867
2019-01-01,7.65314002354,8.59523152432
2019-04-01,7.5037455915,8.37168832457
2019-07-01,7.43119468106,8.21075736314
2019-10-01,7.29553128471,8.0928462502
2020-01-01,7.61417132707,8.59173552435
2020-04-01,14.1134309823,16.1137503232
2020-07-01,10.9664611357,12.3344055425
2020-10-01,9.27252190142,10.486321293
2021-01-01,8.86949613221,10.0666757295
2021-04-01,8.68181957302,9.66309042489
2021-07-01,8.21150590055,9.01537913263
2021-10-01,7.77864237328,8.54884257802
2022-01-01,7.62687945984,8.45286135122
2022-04-01,7.52307419708,8.29295160703
2022-07-01,7.48667615063,8.19387061483
2022-10-01,7.46747717259,8.13964685097
2023-01-01,7.29860568179,8.12730737723
2023-04-01,7.37520686266,8.12545054373
2023-07-01,7.42984342313,8.15351635513
2023-10-01,7.50997675973,8.25162685927
